record_id,vote,confidence,logistic,svm,rf
REC_91,1,0.9997,1,1,1
REC_92,1,0.9985,1,1,1
REC_93,1,0.9985,1,1,1
REC_94,1,0.9710,1,1,1
REC_95,1,0.8517,1,1,1
REC_96,1,0.9495,1,1,1
REC_97,1,0.8833,1,1,1
REC_98,0,0.4195,0,0,1
REC_99,1,0.8593,1,1,1
REC_100,1,0.9790,1,1,1
REC_101,1,0.8879,1,1,1
REC_102,1,0.6812,0,1,1
REC_103,1,0.8879,1,1,1
REC_104,1,0.6812,0,1,1
REC_105,1,0.8879,1,1,1
REC_106,1,0.6812,0,1,1
REC_107,1,0.6244,0,1,1
REC_108,1,0.6812,0,1,1
REC_109,1,0.8791,1,1,1
REC_110,1,0.9891,1,1,1
REC_111,0,0.3250,0,0,1
REC_112,1,0.9708,1,1,1
REC_113,0,0.4087,0,0,1
REC_114,1,0.9231,1,1,1
REC_115,1,0.6665,0,1,1
REC_116,1,0.8276,1,1,1
REC_117,1,0.8293,1,1,1
REC_118,1,0.9769,1,1,1
REC_119,1,1.0000,1,1,1
REC_120,1,0.8276,1,1,1
REC_121,1,0.8293,1,1,1
REC_122,1,0.9991,1,1,1
REC_123,1,0.9514,1,1,1
REC_124,1,0.9439,1,1,1
REC_125,1,0.9232,1,1,1
REC_126,1,0.8344,1,1,1
REC_127,1,0.9883,1,1,1
REC_128,1,0.9990,1,1,1
REC_129,1,0.9933,1,1,1
REC_130,1,0.9714,1,1,1
REC_131,1,0.9851,1,1,1
REC_132,1,0.7232,0,1,1
REC_133,1,0.9279,1,1,1
REC_134,0,0.5368,0,0,1
REC_135,1,0.9017,1,1,1
REC_136,1,0.9017,1,1,1
REC_137,1,0.9756,1,1,1
REC_138,0,0.2689,0,0,0
REC_139,1,0.8407,1,1,1
REC_140,1,0.9756,1,1,1
REC_141,1,0.9534,1,1,1
REC_142,1,0.9991,1,1,1
REC_143,1,0.9534,1,1,1
REC_144,1,0.8479,1,1,1
REC_145,0,0.5433,0,0,1
REC_146,1,0.9756,1,1,1
REC_147,1,0.9382,1,1,1
REC_148,0,0.2493,0,0,0
REC_149,1,0.9927,1,1,1
REC_150,1,0.9385,1,1,1
REC_151,1,0.9967,1,1,1
REC_152,1,0.9338,1,1,1
REC_153,1,0.8628,1,1,1
REC_154,0,0.5193,0,0,1
REC_155,1,0.8534,1,1,1
REC_156,1,0.9951,1,1,1
REC_157,1,0.9838,1,1,1
REC_158,1,0.9889,1,1,1
REC_159,1,0.9522,1,1,1
REC_160,1,0.9537,1,1,1
REC_161,1,0.9709,1,1,1
REC_162,1,0.8440,1,1,1
REC_163,1,0.7948,1,1,1
REC_164,1,0.9709,1,1,1
REC_165,1,0.9808,1,1,1
REC_166,1,0.9453,1,1,1
REC_167,1,0.9144,1,1,1
REC_168,1,0.9738,1,1,1
REC_169,1,0.9939,1,1,1
REC_170,1,0.8738,1,1,1
REC_171,1,0.9492,1,1,1
REC_172,1,0.7828,0,1,1
REC_173,1,0.8024,0,1,1
REC_174,1,0.9570,1,1,1
REC_175,1,0.9715,1,1,1
REC_176,1,0.7800,1,1,0
REC_177,1,0.9587,1,1,1
REC_178,1,0.9338,1,1,1
REC_179,1,0.9716,1,1,1
REC_180,1,0.9944,1,1,1
REC_181,1,0.9420,1,1,1
REC_182,1,0.9901,1,1,1
REC_183,1,0.9655,1,1,1
REC_184,0,0.2455,0,0,1
REC_185,0,0.5084,0,1,0
REC_186,0,0.6200,0,0,1
REC_187,1,0.9310,1,1,1
REC_188,1,0.9839,1,1,1
REC_189,1,0.9905,1,1,1
REC_190,1,0.9731,1,1,1
REC_191,1,0.9866,1,1,1
REC_192,1,0.8699,1,1,1
REC_193,1,0.9705,1,1,1
REC_194,1,0.9492,1,1,1
REC_195,0,0.5679,0,0,1
REC_196,1,0.9997,1,1,1
REC_197,1,0.9499,1,1,1
REC_198,1,0.9997,1,1,1
REC_199,1,0.9192,1,1,1
REC_200,1,0.9929,1,1,1
REC_201,1,0.9529,1,1,1
REC_202,1,0.9508,1,1,1
REC_203,1,0.9895,1,1,1
REC_204,1,0.9457,1,1,1
REC_205,1,0.7264,0,1,1
REC_206,1,0.7393,0,1,1
REC_207,1,0.9888,1,1,1
REC_208,1,0.9597,1,1,1
REC_209,1,0.9561,1,1,1
REC_210,1,0.9440,1,1,1
REC_211,1,0.9828,1,1,1
REC_212,1,0.9842,1,1,1
REC_213,1,0.9997,1,1,1
REC_214,1,0.9240,1,1,1
REC_215,1,0.7877,1,1,1
REC_216,0,0.4821,0,0,1
REC_217,0,0.4821,0,0,1
REC_218,1,1.0000,1,1,1
REC_219,1,0.9680,1,1,1
REC_220,1,0.9709,1,1,1
REC_221,1,0.9865,1,1,1
REC_222,1,0.9965,1,1,1
REC_223,1,0.9875,1,1,1
REC_224,1,0.9698,1,1,1
REC_225,1,0.9694,1,1,1
REC_226,1,0.9741,1,1,1
REC_227,1,0.9489,1,1,1
REC_228,1,0.7032,0,1,1
REC_229,1,0.9637,1,1,1
REC_230,1,0.9775,1,1,1
REC_231,1,0.7434,0,1,1
REC_232,1,0.9829,1,1,1
REC_233,0,0.3980,0,0,0
REC_234,1,0.9596,1,1,1
REC_235,0,0.1673,0,0,0
REC_236,0,0.1673,0,0,0
REC_237,1,0.9500,1,1,1
REC_238,1,0.9930,1,1,1
REC_239,1,0.9537,1,1,1
REC_240,1,0.7440,0,1,1
REC_241,1,0.9718,1,1,1
REC_242,1,0.9963,1,1,1
REC_243,1,0.9145,1,1,1
REC_244,1,0.9702,1,1,1
REC_245,1,0.9914,1,1,1
REC_246,1,0.9963,1,1,1
REC_247,1,0.9882,1,1,1
REC_248,1,0.9644,1,1,1
REC_249,1,0.9621,1,1,1
REC_250,0,0.2127,0,0,1
REC_251,1,0.9568,1,1,1
REC_252,1,0.9736,1,1,1
REC_253,1,0.9965,1,1,1
REC_254,1,0.9962,1,1,1
REC_255,1,0.9869,1,1,1
REC_256,1,0.9916,1,1,1
REC_257,1,0.9964,1,1,1
REC_258,1,0.9896,1,1,1
REC_259,1,0.9493,1,1,1
REC_260,1,0.9896,1,1,1
REC_261,1,0.9621,1,1,1
REC_262,1,0.8265,1,1,1
REC_263,1,0.9820,1,1,1
REC_264,1,0.8353,1,1,1
REC_265,1,0.9470,1,1,1
REC_266,1,0.9691,1,1,1
REC_267,1,0.8905,1,1,1
REC_268,1,0.9856,1,1,1
REC_269,1,0.9470,1,1,1
REC_270,1,0.9470,1,1,1
REC_271,1,0.9644,1,1,1
REC_272,1,0.8453,1,1,1
REC_273,1,0.9522,1,1,1
REC_274,1,1.0000,1,1,1
REC_275,1,0.9292,1,1,1
REC_276,1,0.9631,1,1,1
REC_277,1,1.0000,1,1,1
REC_278,1,0.9643,1,1,1
REC_279,1,1.0000,1,1,1
REC_280,1,0.8993,1,1,1
REC_281,1,0.9912,1,1,1
REC_282,1,0.9867,1,1,1
REC_283,1,0.9999,1,1,1
REC_284,1,0.8867,1,1,1
REC_285,1,0.9900,1,1,1
REC_286,1,0.7778,0,1,1
REC_287,1,0.7749,0,1,1
REC_288,1,0.9845,1,1,1
REC_289,1,0.9618,1,1,1
REC_290,1,0.9522,1,1,1
REC_291,1,0.9798,1,1,1
REC_292,1,0.9744,1,1,1
REC_293,1,0.9833,1,1,1
REC_294,0,0.2306,0,0,0
REC_295,1,0.9996,1,1,1
REC_296,1,0.9564,1,1,1
REC_297,1,0.9944,1,1,1
REC_298,1,0.9562,1,1,1
REC_299,1,0.8507,1,1,1
REC_300,1,0.9880,1,1,1
REC_301,1,0.7683,1,0,1
REC_302,1,0.8659,1,1,1
REC_303,1,0.9987,1,1,1
REC_304,1,0.9703,1,1,1
REC_305,1,0.9979,1,1,1
REC_306,0,0.3594,0,0,1
REC_307,1,0.8867,1,1,1
REC_308,0,0.3861,0,0,1
REC_309,1,0.9812,1,1,1
REC_310,1,0.7670,0,1,1
REC_311,1,0.9128,1,1,1
REC_312,1,0.9968,1,1,1
REC_313,1,0.9843,1,1,1
REC_314,1,0.8988,1,1,1
REC_315,1,0.7341,1,1,1
REC_316,1,0.9720,1,1,1
REC_317,1,0.9799,1,1,1
REC_318,1,0.8632,1,1,1
REC_319,1,0.8506,1,1,1
REC_320,1,0.9701,1,1,1
REC_321,0,0.4483,0,0,1
REC_322,1,0.9514,1,1,1
REC_323,0,0.0612,0,0,0
REC_324,0,0.4483,0,0,1
REC_325,0,0.0612,0,0,0
REC_326,1,0.9741,1,1,1
REC_327,1,0.9957,1,1,1
REC_328,1,0.8398,1,1,1
REC_329,1,0.9706,1,1,1
REC_330,1,0.6623,0,1,1
REC_331,1,0.9793,1,1,1
REC_332,1,0.8911,1,1,1
REC_333,1,0.7878,1,1,1
REC_334,1,0.9590,1,1,1
REC_335,1,0.9792,1,1,1
REC_336,1,0.9960,1,1,1
REC_337,1,0.7375,1,1,1
REC_338,1,0.8911,1,1,1
REC_339,1,0.7059,1,1,1
REC_340,1,0.9702,1,1,1
REC_341,1,0.9710,1,1,1
REC_342,1,0.8911,1,1,1
REC_343,1,0.9905,1,1,1
REC_344,1,0.9959,1,1,1
REC_345,1,0.9019,1,1,1
REC_346,1,0.7375,1,1,1
REC_347,1,0.6361,0,1,1
REC_348,1,0.9960,1,1,1
REC_349,1,0.7375,1,1,1
REC_350,1,0.9792,1,1,1
REC_351,0,0.1440,0,0,0
REC_352,1,0.8911,1,1,1
REC_353,1,0.9701,1,1,1
REC_354,1,0.9843,1,1,1
REC_355,1,0.9793,1,1,1
REC_356,1,0.9181,1,1,1
REC_357,1,0.9499,1,1,1
REC_358,1,0.9027,1,1,1
REC_359,1,0.9552,1,1,1
REC_360,1,0.7892,1,1,1
REC_361,1,0.8805,1,1,1
REC_362,1,0.9815,1,1,1
REC_363,1,0.9701,1,1,1
REC_364,0,0.3704,1,0,0
REC_365,1,0.9815,1,1,1
REC_366,1,0.9766,1,1,1
REC_367,1,0.9253,1,1,1
REC_368,1,0.9502,1,1,1
REC_369,0,0.4523,0,0,1
REC_370,1,0.9552,1,1,1
REC_371,0,0.5512,0,0,1
REC_372,1,0.8061,1,0,1
REC_373,1,0.6849,0,1,1
REC_374,1,0.9931,1,1,1
REC_375,0,0.2724,0,0,1
REC_376,1,0.9977,1,1,1
REC_377,1,0.9867,1,1,1
REC_378,1,0.9331,1,1,1
REC_379,1,0.9799,1,1,1
REC_380,1,0.9941,1,1,1
REC_381,1,0.7476,1,1,0
REC_382,1,0.9837,1,1,1
REC_383,1,0.7373,0,1,1
REC_384,1,0.9799,1,1,1
REC_385,1,0.9829,1,1,1
REC_386,1,0.9830,1,1,1
REC_387,1,0.9928,1,1,1
REC_388,1,0.9820,1,1,1
REC_389,1,0.9821,1,1,1
REC_390,1,0.9460,1,1,1
REC_391,0,0.1603,0,0,0
REC_392,1,0.9762,1,1,1
REC_393,1,0.9802,1,1,1
REC_394,1,0.9929,1,1,1
REC_395,1,0.6169,0,1,1
REC_396,1,0.9169,1,1,1
REC_397,1,0.9824,1,1,1
REC_398,1,0.9850,1,1,1
REC_399,1,0.6981,0,1,1
REC_400,1,0.9727,1,1,1
REC_401,1,0.9844,1,1,1
REC_402,1,0.6770,0,1,1
REC_403,1,0.8678,1,1,1
REC_404,1,0.9239,1,1,1
REC_405,1,0.9820,1,1,1
REC_406,1,0.9915,1,1,1
REC_407,1,0.6941,1,1,1
REC_408,1,0.9740,1,1,1
REC_409,1,0.6621,0,1,1
REC_410,1,0.9839,1,1,1
REC_411,1,0.9479,1,1,1
REC_412,1,0.9492,1,1,1
REC_413,1,0.9141,1,1,1
REC_414,1,0.9986,1,1,1
REC_415,1,0.9969,1,1,1
REC_416,1,0.9432,1,1,1
REC_417,1,0.9947,1,1,1
REC_418,1,0.9882,1,1,1
REC_419,1,0.9983,1,1,1
REC_420,1,0.9835,1,1,1
REC_421,1,0.9110,1,1,1
REC_422,1,0.9981,1,1,1
REC_423,1,0.9452,1,1,1
REC_424,1,0.9998,1,1,1
REC_425,1,0.9110,1,1,1
REC_426,1,0.9200,1,1,1
REC_427,1,0.9853,1,1,1
REC_428,1,0.9983,1,1,1
REC_429,1,0.9792,1,1,1
REC_430,1,0.9945,1,1,1
REC_431,0,0.4724,1,0,0
REC_432,1,0.9945,1,1,1
REC_433,1,0.9507,1,1,1
REC_434,1,0.6010,1,0,1
REC_435,1,0.9942,1,1,1
REC_436,1,0.8127,1,1,1
REC_437,1,0.7212,1,1,1
REC_438,1,0.8932,1,1,1
REC_439,1,0.9656,1,1,1
REC_440,1,0.6700,0,1,1
REC_441,1,0.7241,1,1,1
REC_442,1,0.9474,1,1,1
REC_443,1,0.9061,1,1,1
REC_444,0,0.3446,0,0,1
REC_445,1,0.8762,1,1,1
REC_446,1,0.9638,1,1,1
REC_447,1,0.9188,1,1,1
REC_448,1,0.8591,1,1,1
REC_449,1,0.8591,1,1,1
REC_450,1,0.9414,1,1,1
REC_451,1,0.9102,1,1,1
REC_452,1,0.9782,1,1,1
REC_453,1,0.9288,1,1,1
REC_454,1,0.9852,1,1,1
REC_455,1,0.8429,1,1,1
REC_456,1,0.6791,1,1,1
REC_457,1,0.6884,0,1,1
REC_458,1,0.9962,1,1,1
REC_459,1,0.9997,1,1,1
REC_460,1,0.9766,1,1,1
REC_461,1,0.9633,1,1,1
REC_462,1,0.6913,1,1,1
REC_463,1,0.5789,0,1,1
REC_464,0,0.4020,0,0,1
REC_465,1,0.9914,1,1,1
REC_466,1,0.6751,1,1,1
REC_467,1,0.9937,1,1,1
REC_468,0,0.4748,0,0,1
REC_469,1,0.8532,1,1,1
REC_470,1,0.8940,1,1,1
REC_471,1,0.6908,0,1,1
REC_472,1,0.9387,1,1,1
REC_473,1,0.8950,1,1,1
REC_474,1,0.9839,1,1,1
REC_475,1,0.7603,0,1,1
REC_476,1,0.9125,1,1,1
REC_477,1,0.7603,0,1,1
REC_478,0,0.1941,0,0,0
REC_479,1,0.6471,0,1,1
REC_480,1,0.9919,1,1,1
REC_481,1,0.7380,1,1,0
REC_482,1,0.7304,0,1,1
REC_483,1,0.9741,1,1,1
REC_484,1,0.9927,1,1,1
REC_485,1,0.8886,1,1,1
REC_486,1,0.9917,1,1,1
REC_487,1,0.9801,1,1,1
REC_488,1,0.9839,1,1,1
REC_489,1,0.8394,1,1,1
REC_490,1,0.9728,1,1,1
REC_491,1,1.0000,1,1,1
REC_492,1,0.9917,1,1,1
REC_493,1,0.9996,1,1,1
REC_494,1,0.9909,1,1,1
REC_495,0,0.3937,0,0,1
REC_496,0,0.2324,0,0,0
REC_497,1,0.9761,1,1,1
REC_498,1,0.9911,1,1,1
REC_499,1,1.0000,1,1,1
REC_500,0,0.1573,0,0,0
REC_501,1,0.7806,0,1,1
REC_502,1,0.9800,1,1,1
REC_503,1,0.9839,1,1,1
REC_504,1,0.6698,1,0,1
REC_505,1,0.9877,1,1,1
REC_506,1,0.8659,1,1,1
REC_507,1,0.9953,1,1,1
REC_508,1,0.9857,1,1,1
REC_509,1,0.7953,1,0,1
REC_510,1,0.9945,1,1,1
REC_511,1,0.8396,1,1,1
REC_512,1,0.9866,1,1,1
REC_513,1,0.9815,1,1,1
REC_514,1,1.0000,1,1,1
REC_515,0,0.4502,0,0,1
REC_516,1,0.9708,1,1,1
REC_517,0,0.3604,0,0,1
REC_518,1,0.9608,1,1,1
REC_519,0,0.5068,0,0,1
REC_520,1,0.8774,1,1,1
REC_521,1,0.8687,1,1,1
REC_522,1,0.9793,1,1,1
REC_523,1,1.0000,1,1,1
REC_524,1,0.9370,1,1,1
REC_525,1,0.9821,1,1,1
REC_526,1,0.9305,1,1,1
REC_527,1,0.7461,1,1,1
REC_528,1,0.9305,1,1,1
REC_529,1,0.9988,1,1,1
REC_530,1,0.9946,1,1,1
REC_531,1,0.9663,1,1,1
REC_532,1,0.9666,1,1,1
REC_533,1,0.8816,1,1,1
REC_534,1,0.9742,1,1,1
REC_535,0,0.3186,0,0,1
REC_536,0,0.3556,0,0,1
REC_537,1,0.7449,1,1,1
REC_538,1,0.9963,1,1,1
REC_539,1,0.9091,1,1,1
REC_540,1,0.9864,1,1,1
REC_541,1,0.9434,1,1,1
REC_542,1,0.9518,1,1,1
REC_543,1,0.9209,1,1,1
REC_544,1,0.6228,0,1,1
REC_545,0,0.5245,1,0,0
REC_546,1,0.7446,1,1,1
REC_547,1,0.8461,1,1,1
REC_548,1,0.9584,1,1,1
REC_549,1,0.8859,1,1,1
REC_550,0,0.4215,0,0,1
REC_551,1,0.9966,1,1,1
REC_552,1,0.9531,1,1,1
REC_553,1,0.9153,1,1,1
REC_554,1,0.9974,1,1,1
REC_555,1,0.9994,1,1,1
REC_556,1,0.9100,1,1,1
REC_557,1,0.9789,1,1,1
REC_558,1,0.9796,1,1,1
REC_559,1,0.9556,1,1,1
REC_560,1,0.9747,1,1,1
REC_561,1,0.9773,1,1,1
REC_562,1,0.9873,1,1,1
REC_563,1,0.9996,1,1,1
REC_564,1,0.9983,1,1,1
REC_565,1,0.9983,1,1,1
REC_566,0,0.1905,0,0,0
REC_567,1,0.9302,1,1,1
REC_568,1,0.7130,1,1,1
REC_569,1,0.9987,1,1,1
REC_570,1,0.9716,1,1,1
REC_571,1,0.7460,0,1,1
REC_572,1,0.9815,1,1,1
REC_573,1,0.9881,1,1,1
REC_574,1,0.8738,1,1,1
REC_575,1,0.9976,1,1,1
REC_576,1,0.9976,1,1,1
REC_577,1,0.9976,1,1,1
REC_578,1,0.9302,1,1,1
REC_579,1,0.6444,0,1,1
REC_580,1,1.0000,1,1,1
REC_581,1,0.7121,1,1,1
REC_582,1,0.9352,1,1,1
REC_583,1,1.0000,1,1,1
REC_584,1,0.9976,1,1,1
REC_585,1,0.9179,1,1,1
REC_586,1,0.8979,1,1,1
REC_587,1,0.9875,1,1,1
REC_588,0,0.1846,0,0,0
REC_589,1,0.7250,1,1,1
REC_590,1,0.9703,1,1,1
REC_591,1,0.9960,1,1,1
REC_592,1,0.9637,1,1,1
REC_593,0,0.5598,0,0,1
REC_594,1,0.8650,1,1,1
REC_595,1,0.9948,1,1,1
REC_596,1,0.5529,1,0,1
REC_597,1,0.9906,1,1,1
REC_598,1,0.8853,1,1,1
REC_599,1,0.9964,1,1,1
REC_600,1,0.9997,1,1,1
REC_601,1,0.9984,1,1,1
REC_602,1,0.7256,1,1,1
REC_603,1,0.9765,1,1,1
REC_604,1,0.9938,1,1,1
REC_605,1,0.9281,1,1,1
REC_606,1,0.9029,1,1,1
REC_607,1,0.9924,1,1,1
REC_608,0,0.4879,0,0,1
REC_609,1,0.9375,1,1,1
REC_610,1,0.9824,1,1,1
REC_611,1,0.9897,1,1,1
REC_612,1,0.9967,1,1,1
REC_613,1,0.9824,1,1,1
REC_614,1,0.9990,1,1,1
REC_615,1,0.8838,1,1,1
REC_616,1,0.9180,1,1,1
REC_617,1,0.5529,1,0,1
REC_618,1,0.8616,1,1,1
REC_619,1,0.6623,1,1,1
REC_620,1,0.8885,1,1,1
REC_621,1,0.9746,1,1,1
REC_622,1,0.7136,1,1,1
REC_623,1,0.9966,1,1,1
REC_624,1,0.9045,1,1,1
REC_625,1,0.8887,1,1,1
REC_626,1,0.9383,1,1,1
REC_627,0,0.2449,0,0,0
REC_628,1,0.9994,1,1,1
REC_629,1,0.9980,1,1,1
REC_630,1,0.9952,1,1,1
REC_631,0,0.3065,1,0,0
REC_632,1,0.9998,1,1,1
REC_633,1,0.7178,1,1,1
REC_634,1,0.9673,1,1,1
REC_635,1,0.9317,1,1,1
REC_636,1,0.9994,1,1,1
REC_637,1,0.9191,1,1,1
REC_638,1,0.9997,1,1,1
REC_639,1,0.9805,1,1,1
REC_640,1,0.9896,1,1,1
REC_641,1,0.8492,1,1,1
REC_642,1,0.9799,1,1,1
REC_643,1,0.9232,1,1,1
REC_644,1,0.9594,1,1,1
REC_645,1,0.7558,1,1,1
REC_646,1,0.9637,1,1,1
REC_647,1,0.9942,1,1,1
REC_648,1,0.9610,1,1,1
REC_649,1,0.9799,1,1,1
REC_650,1,0.9262,1,1,1
REC_651,1,0.9700,1,1,1
REC_652,1,0.9137,1,1,1
REC_653,1,0.9789,1,1,1
REC_654,1,0.9912,1,1,1
REC_655,1,0.9446,1,1,1
REC_656,1,1.0000,1,1,1
REC_657,1,0.9747,1,1,1
REC_658,1,0.9521,1,1,1
REC_659,0,0.6122,0,0,1
REC_660,1,0.9947,1,1,1
REC_661,0,0.1499,0,0,0
REC_662,1,0.9719,1,1,1
REC_663,1,0.9963,1,1,1
REC_664,1,0.9913,1,1,1
REC_665,1,0.9963,1,1,1
REC_666,0,0.3984,0,0,1
REC_667,1,0.9488,1,1,1
REC_668,1,0.9863,1,1,1
REC_669,1,0.9632,1,1,1
REC_670,1,0.9819,1,1,1
REC_671,1,0.9799,1,1,1
REC_672,1,0.9801,1,1,1
REC_673,1,0.9945,1,1,1
REC_674,1,0.9702,1,1,1
REC_675,1,0.9572,1,1,1
REC_676,1,0.9511,1,1,1
REC_677,1,0.8694,1,1,1
REC_678,1,0.9944,1,1,1
REC_679,1,0.9539,1,1,1
REC_680,1,0.9905,1,1,1
REC_681,0,0.3330,0,0,1
REC_682,1,0.8365,1,1,1
REC_683,1,0.9652,1,1,1
REC_684,1,0.9924,1,1,1
REC_685,1,0.9941,1,1,1
REC_686,1,0.9999,1,1,1
REC_687,1,0.9989,1,1,1
REC_688,1,0.7498,1,0,1
REC_689,1,0.9946,1,1,1
REC_690,1,0.8645,1,1,1
REC_691,1,0.6663,1,0,1
REC_692,1,0.9819,1,1,1
REC_693,1,0.9745,1,1,1
REC_694,1,0.7587,1,1,1
REC_695,1,0.9967,1,1,1
REC_696,1,0.9967,1,1,1
REC_697,1,0.9858,1,1,1
REC_698,1,0.9967,1,1,1
REC_699,1,0.9891,1,1,1
REC_700,1,0.9881,1,1,1
REC_701,1,0.9057,1,1,1
REC_702,0,0.4319,0,0,1
REC_703,1,0.9933,1,1,1
REC_704,1,0.9943,1,1,1
REC_705,1,0.7920,1,1,1
REC_706,1,0.9670,1,1,1
REC_707,1,0.9027,1,1,1
REC_708,1,0.9990,1,1,1
REC_709,1,0.9997,1,1,1
REC_710,1,0.9989,1,1,1
REC_711,1,0.9704,1,1,1
REC_712,1,0.9238,1,1,1
REC_713,1,0.9952,1,1,1
REC_714,1,0.9933,1,1,1
REC_715,1,0.9953,1,1,1
REC_716,1,0.9644,1,1,1
REC_717,1,0.9864,1,1,1
REC_718,1,0.9802,1,1,1
REC_719,1,0.9836,1,1,1
REC_720,1,0.9838,1,1,1
REC_721,1,0.9223,1,1,1
REC_722,1,0.9967,1,1,1
REC_723,1,1.0000,1,1,1
REC_724,1,1.0000,1,1,1
REC_725,1,0.8772,1,1,1
REC_726,1,0.9888,1,1,1
REC_727,1,0.9816,1,1,1
REC_728,0,0.0603,0,0,0
REC_729,1,0.9876,1,1,1
REC_730,1,0.6390,1,1,1
REC_731,1,0.9909,1,1,1
REC_732,1,0.9888,1,1,1
REC_733,1,0.9958,1,1,1
REC_734,1,0.9932,1,1,1
REC_735,1,0.9754,1,1,1
REC_736,1,0.9367,1,1,1
REC_737,1,0.6503,1,1,1
REC_738,1,0.7086,1,1,1
REC_739,1,0.6054,0,1,1
REC_740,1,0.9457,1,1,1
REC_741,1,0.8506,1,1,1
REC_742,1,0.8014,1,1,0
REC_743,1,0.9990,1,1,1
REC_744,0,0.4310,0,0,1
REC_745,1,0.9946,1,1,1
REC_746,1,0.9977,1,1,1
REC_747,1,0.6727,1,1,1
REC_748,1,0.8508,1,1,1
REC_749,1,0.9302,1,1,1
REC_750,1,0.9854,1,1,1
REC_751,1,0.9518,1,1,1
REC_752,1,0.9937,1,1,1
REC_753,1,1.0000,1,1,1
REC_754,1,0.9120,1,1,1
REC_755,1,0.8904,1,1,1
REC_756,1,0.9264,1,1,1
REC_757,1,0.9995,1,1,1
REC_758,1,0.9974,1,1,1
REC_759,0,0.4429,0,0,1
REC_760,1,0.9129,1,1,1
REC_761,1,0.9462,1,1,1
REC_762,1,0.9095,1,1,1
REC_763,1,0.9766,1,1,1
REC_764,1,0.9128,1,1,1
REC_765,1,0.9992,1,1,1
REC_766,1,0.9748,1,1,1
REC_767,1,0.9410,1,1,1
REC_768,0,0.4334,0,0,1
REC_769,1,0.9813,1,1,1
REC_770,1,0.9820,1,1,1
REC_771,1,0.9915,1,1,1
REC_772,1,0.9868,1,1,1
REC_773,0,0.0589,0,0,0
REC_774,1,0.8840,1,1,1
